,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,highway-L/100km,Norm_height,horsepower-binned,fuel-type-diesel,gas-type-diesel,aspiration-std,aspiration-turbo
102,0,108,nissan,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,17,22,14399,10.681818181818182,0.9381270903010034,Medium,0,1,1,0
103,0,108,nissan,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,19,25,13499,9.4,0.9214046822742475,Medium,0,1,1,0
104,3,194,nissan,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,19,25,17199,9.4,0.831103678929766,Medium,0,1,1,0
105,3,194,nissan,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699,10.217391304347826,0.831103678929766,High,0,1,0,1
106,1,231,nissan,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,19,25,18399,9.4,0.831103678929766,Medium,0,1,1,0
107,0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900,9.791666666666666,0.948160535117057,Low,0,1,1,0
108,0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,four,152,idi,3.70,3.52,21.0,95,4150,28,33,13200,7.121212121212121,0.948160535117057,Low,1,0,0,1
109,0,122.0,peugot,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440,9.791666666666666,0.9816053511705687,Low,0,1,1,0
110,0,122.0,peugot,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,four,152,idi,3.70,3.52,21.0,95,4150,25,25,13860,9.4,0.9816053511705687,Low,1,0,0,1
111,0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580,9.791666666666666,0.948160535117057,Low,0,1,1,0
112,0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.70,3.52,21.0,95,4150,28,33,16900,7.121212121212121,0.948160535117057,Low,1,0,0,1
113,0,122.0,peugot,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695,9.791666666666666,0.948160535117057,Low,0,1,1,0
114,0,122.0,peugot,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,four,152,idi,3.70,3.52,21.0,95,4150,25,25,17075,9.4,0.9816053511705687,Low,1,0,0,1
115,0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630,9.791666666666666,0.948160535117057,Low,0,1,1,0
116,0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.70,3.52,21.0,95,4150,28,33,17950,7.121212121212121,0.948160535117057,Low,1,0,0,1
117,0,161,peugot,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,l,four,134,mpfi,3.61,3.21,7.0,142,5600,18,24,18150,9.791666666666666,0.9364548494983278,Medium,0,1,0,1
118,1,119,plymouth,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572,5.7317073170731705,0.8494983277591973,Low,0,1,1,0
119,1,119,plymouth,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957,7.833333333333333,0.8494983277591973,Low,0,1,0,1
120,1,154,plymouth,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,6.184210526315789,0.8461538461538463,Low,0,1,1,0
121,1,154,plymouth,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,6.184210526315789,0.8494983277591973,Low,0,1,1,0
122,1,154,plymouth,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,6.184210526315789,0.8494983277591973,Low,0,1,1,0
123,-1,74,plymouth,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921,7.833333333333333,1.0,Low,0,1,1,0
124,3,122.0,plymouth,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,19,24,12764,9.791666666666666,0.8394648829431439,Medium,0,1,0,1
125,3,186,porsche,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018,8.703703703703704,0.8394648829431439,Medium,0,1,1,0
126,3,122.0,porsche,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.90,9.5,207,5900,17,25,32528,9.4,0.8628762541806021,High,0,1,1,0
127,3,122.0,porsche,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.90,9.5,207,5900,17,25,34028,9.4,0.8628762541806021,High,0,1,1,0
128,3,122.0,porsche,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800,ohcf,six,194,mpfi,3.74,2.90,9.5,207,5900,17,25,37028,9.4,0.8628762541806021,High,0,1,1,0
130,0,122.0,renault,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,ohc,four,132,mpfi,3.46,3.90,8.7,104,5125.369458128079,23,31,9295,7.580645161290323,0.9230769230769231,Low,0,1,1,0
131,2,122.0,renault,two,hatchback,fwd,front,96.1,176.8,66.6,50.5,2460,ohc,four,132,mpfi,3.46,3.90,8.7,104,5125.369458128079,23,31,9895,7.580645161290323,0.8444816053511706,Low,0,1,1,0
132,3,150,saab,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850,8.392857142857142,0.9381270903010034,Low,0,1,1,0
133,2,104,saab,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170,8.392857142857142,0.9381270903010034,Low,0,1,1,0
134,3,150,saab,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040,8.392857142857142,0.9381270903010034,Low,0,1,1,0
135,2,104,saab,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510,8.392857142857142,0.9381270903010034,Low,0,1,1,0
136,3,150,saab,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18150,9.038461538461538,0.9381270903010034,Medium,0,1,0,1
137,2,104,saab,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18620,9.038461538461538,0.9381270903010034,Medium,0,1,0,1
138,2,83,subaru,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,four,97,2bbl,3.62,2.36,9.0,69,4900,31,36,5118,6.527777777777778,0.8979933110367894,Low,0,1,1,0
139,2,83,subaru,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7053,7.580645161290323,0.8979933110367894,Low,0,1,1,0
140,2,83,subaru,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7603,7.580645161290323,0.931438127090301,Low,0,1,1,0
141,0,102,subaru,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7126,6.351351351351352,0.8779264214046824,Low,0,1,1,0
142,0,102,subaru,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,28,33,7775,7.121212121212121,0.8779264214046824,Low,0,1,1,0
143,0,102,subaru,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2340,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200,26,32,9960,7.34375,0.8779264214046824,Low,0,1,1,0
144,0,102,subaru,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2385,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,24,25,9233,9.4,0.9080267558528428,Low,0,1,1,0
145,0,102,subaru,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,24,29,11259,8.10344827586207,0.9080267558528428,Low,0,1,0,1
146,0,89,subaru,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2290,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,28,32,7463,7.34375,0.8862876254180603,Low,0,1,1,0
147,0,89,subaru,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200,25,31,10198,7.580645161290323,0.8862876254180603,Low,0,1,1,0
148,0,85,subaru,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,23,29,8013,8.10344827586207,0.9180602006688964,Low,0,1,1,0
149,0,85,subaru,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,23,23,11694,10.217391304347826,0.9180602006688964,Low,0,1,0,1
150,1,87,toyota,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,35,39,5348,6.0256410256410255,0.911371237458194,Low,0,1,1,0
151,1,87,toyota,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6338,6.184210526315789,0.911371237458194,Low,0,1,1,0
152,1,74,toyota,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6488,6.184210526315789,0.911371237458194,Low,0,1,1,0
153,0,77,toyota,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,31,37,6918,6.351351351351352,0.988294314381271,Low,0,1,1,0
154,0,81,toyota,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,27,32,7898,7.34375,0.988294314381271,Low,0,1,1,0
155,0,91,toyota,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,27,32,8778,7.34375,0.988294314381271,Low,0,1,1,0
156,0,91,toyota,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2081,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,30,37,6938,6.351351351351352,0.8862876254180603,Low,0,1,1,0
157,0,91,toyota,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,30,37,7198,6.351351351351352,0.882943143812709,Low,0,1,1,0
158,0,91,toyota,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,34,36,7898,6.527777777777778,0.8862876254180603,Low,1,0,1,0
159,0,91,toyota,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,38,47,7788,5.0,0.882943143812709,Low,1,0,1,0
160,0,91,toyota,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2094,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,38,47,7738,5.0,0.8862876254180603,Low,0,1,1,0
161,0,91,toyota,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,28,34,8358,6.911764705882353,0.882943143812709,Low,0,1,1,0
162,0,91,toyota,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,28,34,9258,6.911764705882353,0.882943143812709,Low,0,1,1,0
163,1,168,toyota,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2169,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,29,34,8058,6.911764705882353,0.8795986622073579,Low,0,1,1,0
164,1,168,toyota,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,29,34,8238,6.911764705882353,0.8795986622073579,Low,0,1,1,0
165,1,168,toyota,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9298,8.10344827586207,0.8795986622073579,Low,0,1,1,0
166,1,168,toyota,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9538,8.10344827586207,0.8795986622073579,Low,0,1,1,0
167,2,134,toyota,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2540,ohc,four,146,mpfi,3.62,3.50,9.3,116,4800,24,30,8449,7.833333333333333,0.8695652173913044,Low,0,1,1,0
168,2,134,toyota,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536,ohc,four,146,mpfi,3.62,3.50,9.3,116,4800,24,30,9639,7.833333333333333,0.8695652173913044,Low,0,1,1,0
169,2,134,toyota,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551,ohc,four,146,mpfi,3.62,3.50,9.3,116,4800,24,30,9989,7.833333333333333,0.8695652173913044,Low,0,1,1,0
170,2,134,toyota,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679,ohc,four,146,mpfi,3.62,3.50,9.3,116,4800,24,30,11199,7.833333333333333,0.8695652173913044,Low,0,1,1,0
171,2,134,toyota,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714,ohc,four,146,mpfi,3.62,3.50,9.3,116,4800,24,30,11549,7.833333333333333,0.8695652173913044,Low,0,1,1,0
172,2,134,toyota,two,convertible,rwd,front,98.4,176.2,65.6,53.0,2975,ohc,four,146,mpfi,3.62,3.50,9.3,116,4800,24,30,17669,7.833333333333333,0.8862876254180603,Low,0,1,1,0
173,-1,65,toyota,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,29,34,8948,6.911764705882353,0.9180602006688964,Low,0,1,1,0
174,-1,65,toyota,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,ohc,four,110,idi,3.27,3.35,22.5,73,4500,30,33,10698,7.121212121212121,0.9180602006688964,Low,1,0,0,1
175,-1,65,toyota,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,9988,7.34375,0.9013377926421405,Low,0,1,1,0
176,-1,65,toyota,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,10898,7.34375,0.9180602006688964,Low,0,1,1,0
177,-1,65,toyota,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,11248,7.34375,0.9013377926421405,Low,0,1,1,0
178,3,197,toyota,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,20,24,16558,9.791666666666666,0.8695652173913044,Medium,0,1,1,0
179,3,197,toyota,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,19,24,15998,9.791666666666666,0.8695652173913044,Medium,0,1,1,0
180,-1,90,toyota,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200,20,24,15690,9.791666666666666,0.9046822742474917,Medium,0,1,1,0
181,-1,122.0,toyota,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156,5200,19,24,15750,9.791666666666666,0.9046822742474917,Medium,0,1,1,0
182,2,122,volkswagen,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,ohc,four,97,idi,3.01,3.40,23.0,52,4800,37,46,7775,5.108695652173913,0.931438127090301,Low,1,0,1,0
183,2,122,volkswagen,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,ohc,four,109,mpfi,3.19,3.40,9.0,85,5250,27,34,7975,6.911764705882353,0.931438127090301,Low,0,1,1,0
184,2,94,volkswagen,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,ohc,four,97,idi,3.01,3.40,23.0,52,4800,37,46,7995,5.108695652173913,0.931438127090301,Low,1,0,1,0
185,2,94,volkswagen,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,ohc,four,109,mpfi,3.19,3.40,9.0,85,5250,27,34,8195,6.911764705882353,0.931438127090301,Low,0,1,1,0
186,2,94,volkswagen,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,ohc,four,109,mpfi,3.19,3.40,9.0,85,5250,27,34,8495,6.911764705882353,0.931438127090301,Low,0,1,1,0
187,2,94,volkswagen,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,ohc,four,97,idi,3.01,3.40,23.0,68,4500,37,42,9495,5.595238095238095,0.931438127090301,Low,1,0,0,1
188,2,94,volkswagen,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,ohc,four,109,mpfi,3.19,3.40,10.0,100,5500,26,32,9995,7.34375,0.931438127090301,Low,0,1,1,0
189,3,122.0,volkswagen,two,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,ohc,four,109,mpfi,3.19,3.40,8.5,90,5500,24,29,11595,8.10344827586207,0.9297658862876255,Low,0,1,1,0
190,3,256,volkswagen,two,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221,ohc,four,109,mpfi,3.19,3.40,8.5,90,5500,24,29,9980,8.10344827586207,0.8595317725752508,Low,0,1,1,0
191,0,122.0,volkswagen,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,ohc,five,136,mpfi,3.19,3.40,8.5,110,5500,19,24,13295,9.791666666666666,0.9214046822742475,Low,0,1,1,0
192,0,122.0,volkswagen,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,ohc,four,97,idi,3.01,3.40,23.0,68,4500,33,38,13845,6.184210526315789,0.9214046822742475,Low,1,0,0,1
193,0,122.0,volkswagen,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,ohc,four,109,mpfi,3.19,3.40,9.0,88,5500,25,31,12290,7.580645161290323,0.9214046822742475,Low,0,1,1,0
194,-2,103,volvo,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,12940,8.392857142857142,0.939799331103679,Low,0,1,1,0
195,-1,74,volvo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,13415,8.392857142857142,0.9615384615384616,Low,0,1,1,0
196,-2,103,volvo,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,15985,8.392857142857142,0.939799331103679,Low,0,1,1,0
197,-1,74,volvo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,16515,8.392857142857142,0.9615384615384616,Low,0,1,1,0
198,-2,103,volvo,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18420,10.681818181818182,0.939799331103679,Medium,0,1,0,1
199,-1,74,volvo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18950,10.681818181818182,0.9615384615384616,Medium,0,1,0,1
200,-1,95,volvo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,16845,8.392857142857142,0.9280936454849499,Low,0,1,1,0
201,-1,95,volvo,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300,19,25,19045,9.4,0.9280936454849499,Medium,0,1,0,1
202,-1,95,volvo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500,18,23,21485,10.217391304347826,0.9280936454849499,Medium,0,1,1,0
203,-1,95,volvo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,ohc,six,145,idi,3.01,3.40,23.0,106,4800,26,27,22470,8.703703703703704,0.9280936454849499,Low,1,0,0,1
204,-1,95,volvo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,19,25,22625,9.4,0.9280936454849499,Low,0,1,0,1
